"Competition" "foc_specie" "comp_specie" "n_replicate" "Biomasse"
"6" 0 "ant.odo" "0" 1 2.79
"7" 0 "ant.odo" "0" 2 1.97
"8" 0 "ant.odo" "0" 3 1.27
"9" 0 "ant.odo" "0" 4 1.94
"10" 0 "ant.odo" "0" 5 2.81
"20" 0 "cre.bie" "0" 1 1.45
"21" 0 "cre.bie" "0" 2 0.48
"22" 0 "cre.bie" "0" 3 0.58
"23" 0 "cre.bie" "0" 4 0.26
"24" 0 "cre.bie" "0" 5 0.55
"25" 0 "dac.glo" "0" 1 3.27
"26" 0 "dac.glo" "0" 2 3.94
"27" 0 "dac.glo" "0" 3 4.68
"28" 0 "dac.glo" "0" 4 3.35
"29" 0 "dac.glo" "0" 5 6.76
"30" 0 "dau.car" "0" 1 1.75
"31" 0 "dau.car" "0" 3 2.19
"32" 0 "dau.car" "0" 4 1.95
"33" 0 "dau.car" "0" 5 3.27
"54" 0 "lol.per" "0" 1 1
"55" 0 "lol.per" "0" 3 3.13
"56" 0 "lol.per" "0" 4 1.63
"57" 0 "lol.per" "0" 5 4.66
"62" 0 "poa.tri" "0" 1 4.03
"63" 0 "poa.tri" "0" 2 3.61
"64" 0 "poa.tri" "0" 3 2.68
"65" 0 "poa.tri" "0" 4 3.64
"66" 0 "poa.tri" "0" 5 2.88
"67" 0 "pru.gra" "0" 1 0.63
"68" 0 "pru.gra" "0" 2 0.33
"69" 0 "pru.gra" "0" 3 0.67
"70" 0 "pru.gra" "0" 4 0.44
"71" 0 "pru.gra" "0" 5 0.28
"77" 0 "tar.off" "0" 1 0.44
"78" 0 "tar.off" "0" 2 0.84
"79" 0 "tar.off" "0" 3 0.44
"80" 0 "tar.off" "0" 4 0.38
"81" 0 "tar.off" "0" 5 1.07
"249" 1 "ant.odo" "ant.odo" 2 0.83
"250" 1 "ant.odo" "ant.odo" 2 2.94
"259" 1 "cre.bie" "cre.bie" 1 0.51
"260" 1 "cre.bie" "cre.bie" 1 0.75
"261" 1 "cre.bie" "cre.bie" 2 0.24
